name,description,version,app_id,profile
Slides,"Create and edit presentations ",0.10,aapocclcgogkmnckokdopfmhonfmgoek,""
Docs,"Create and edit documents ",0.10,aohghmighlieiainnegkcijnfilokake,""
"Chrome Web Store Payments","Chrome Web Store Payments",1.0.0.5,nmmhkkegccagdldgiimedpiccmgmieda,""
"Google Drive","Google Drive: create, share and keep all your stuff in one place.",14.5,apdfllckaahabafndbhieahigkjlhalf,""
Sheets,"Create and edit spreadsheets",1.2,felcaaldnbdncclmgdcncolpebgiejap,""
"Google Docs Offline","Edit, create, and view your documents, spreadsheets, and presentations â€” all without internet access.",1.19.0,ghbmnnjooekpmoecnnnilnnbdlolhkhi,""
"Chrome Media Router","Provider for discovery and services for mirroring of Chrome Media Router",7919.1028.0.0,pkedcjkdefgpdelpbcmbmeomcjbeemfm,""
YouTube,"",4.2.8,blpcfgokakmgnkcojhhkbfbldkacnbeo,""
Gmail,"Fast, searchable email with less spam.",8.2,pjkljhegncpnkpknbcohdijeoejaedia,""
